day,flux
2454102.259,3.1622776601683795e-18
2454102.3201,1.778279410038923e-18
2454102.35,3.1622776601683795e-18
2454103.3,3.1622776601683795e-18
2454103.5,1.778279410038923e-18
2454104.2,3.1622776601683796e-17
2454104.24,5.62341325190349e-17
2454104.5174,5.623413251903491e-18
2454104.6,1e-17
2454105.60289,1.7782794100389228e-17
2454106.31,1e-15
2454106.4118,1.7782794100389228e-17
2454106.9979,5.62341325190349e-17
2454107.20833,5.62341325190349e-17
2454107.313,1e-16
2454107.34028,1.7782794100389228e-16
2454107.36,3.1622776601683794e-15
2454107.6,3.1622776601683796e-17
2454108.24,3.1622776601683793e-16
2454108.24,3.1622776601683793e-16
2454108.27,1e-15
2454108.274,5.623413251903491e-16
2454108.2986,3.1622776601683794e-15
2454108.3,1.7782794100389227e-15
2454108.3448,1.7782794100389228e-16
2454108.8785,3.1622776601683793e-16
2454109.0,5.62341325190349e-17
2454109.271,5.62341325190349e-17
2454109.5,1.7782794100389227e-15
2454109.55938,3.1622776601683794e-15
2454109.6,3.1622776601683793e-16
2454109.931,1e-15
2454110.531,1.7782794100389227e-15
2454110.53125,1e-14
2454111.2,1.7782794100389228e-16
2454111.2083,1.7782794100389227e-15
2454111.23,1.7782794100389227e-15
2454111.2729,1e-14
2454111.2736,5.6234132519034904e-15
2454111.29167,1.7782794100389227e-15
2454111.3,1e-14
2454111.3,5.623413251903491e-16
2454111.3,5.6234132519034904e-15
2454111.309,1.7782794100389227e-15
2454111.31,1.7782794100389227e-15
2454111.32,1.7782794100389227e-14
2454111.32,1.7782794100389227e-15
2454111.3479,3.1622776601683793e-16
2454111.375,3.1622776601683794e-15
2454111.4,3.1622776601683794e-15
2454111.5,1e-14
2454111.5,3.1622776601683794e-15
2454111.7,1e-14
2454111.9917,1e-14
2454112.5,5.6234132519034906e-14
2454113.2243,1.7782794100389227e-14
2454113.2293,1.7782794100389227e-14
2454113.231,3.1622776601683794e-15
2454113.2326,1.7782794100389227e-14
2454113.3,1e-14
2454114.2465,5.6234132519034906e-14
2454114.25,5.6234132519034904e-15
2454114.35417,1.7782794100389227e-14
2454114.424,1.7782794100389227e-14
2454114.5,1e-13
2454114.8854,1e-12
2454115.2,1.7782794100389227e-13
2454115.209,3.162277660168379e-13
2454115.2146,1.7782794100389227e-13
2454115.2235,5.6234132519034906e-14
2454115.25,7.498942093324558e-13
2454115.25,1.7782794100389227e-14
2454115.2563,1e-13
2454115.2708,1e-13
2454115.2792,1.7782794100389227e-13
2454115.29236,5.6234132519034906e-14
2454115.32,1e-13
2454115.36,3.162277660168379e-13
2454115.36,1e-13
2454115.3674,3.162277660168379e-13
2454115.3687,3.1622776601683796e-14
2454115.6,3.162277660168379e-13
2454116.2,1.7782794100389227e-13
2454116.22,3.162277660168379e-13
2454116.2431,3.162277660168379e-13
2454116.2471,1e-13
2454116.3056,5.62341325190349e-13
2454116.33,3.1622776601683796e-14
2454116.375,3.1622776601683796e-14
2454117.2,3.162277660168379e-13
2454117.2444,5.62341325190349e-13
2454117.31597,3.162277660168379e-13
2454117.5,5.62341325190349e-13
2454117.6,5.62341325190349e-13
2454118.25,5.6234132519034906e-14
2454118.5,5.62341325190349e-13
2454118.6,1e-12
2454118.8854,5.6234132519034904e-12
2454119.3,1.7782794100389227e-11
2454119.3,1e-11
2454120.2083,1e-11
2454120.25,3.162277660168379e-13
2454120.29,5.6234132519034904e-12
2454120.3,3.162277660168379e-13
2454120.33333,3.1622776601683794e-12
2454120.36,1.7782794100389227e-11
2454120.4,1e-11
2454120.43264,1e-11
2454120.43333,5.6234132519034904e-12
2454120.5,1.7782794100389227e-11
2454121.2,1e-10
2454121.2,1.7782794100389227e-11
2454121.208,3.162277660168379e-13
2454121.2083,1e-10
2454121.24,1.778279410038923e-10
2454121.24,1e-10
2454121.2764,1.7782794100389227e-11
2454121.29,1e-13
2454121.2917,1e-12
2454121.31,5.6234132519034906e-11
2454121.3347,1.7782794100389227e-11
2454121.385,1.7782794100389228e-12
2454121.49375,1.7782794100389227e-11
2454121.5,3.1622776601683794e-11
2454121.5,1.7782794100389227e-11
2454121.62639,1.7782794100389227e-11
2454122.20833,3.1622776601683794e-11
2454122.2153,5.6234132519034906e-11
2454122.22986,1.7782794100389228e-12
2454122.25694,3.1622776601683794e-11
2454122.26,1e-11
2454122.2694,1.7782794100389227e-11
2454122.3576,1e-10
2454122.37,1e-11
2454122.9674,1.778279410038923e-10
2454123.25,1.7782794100389227e-11
2454123.25625,3.1622776601683794e-11
2454123.2681,1e-11
2454123.323,3.1622776601683794e-11
2454123.333,1e-12
2454123.4243,1e-10
2454124.2576,3.1622776601683795e-10
2454124.375,1.7782794100389228e-12
2454124.39,1e-09
2454124.5,1e-10
2454125.25,3.1622776601683795e-10
2454125.26,1e-09
2454125.5,3.1622776601683794e-11
2454125.8771,5.623413251903491e-10
2454126.2,3.1622776601683795e-10
2454126.3,5.623413251903491e-10
2454126.3264,5.623413251903491e-10
2454126.4,5.6234132519034906e-11
2454126.5,1e-10
2454126.531,1e-10
2454126.6,3.1622776601683795e-10
2454126.62101,1e-10
2454127.0,1.778279410038923e-10
2454127.0316,3.1622776601683795e-10
2454127.2,5.623413251903491e-10
2454127.21528,3.1622776601683795e-10
2454127.2188,3.1622776601683795e-10
2454127.3,5.623413251903491e-10
2454127.3,3.1622776601683795e-10
2454127.35417,5.6234132519034906e-11
2454127.61111,5.623413251903491e-10
2454128.2,3.1622776601683795e-10
2454128.21,5.623413251903491e-10
2454128.2241,1e-09
2454128.25,3.1622776601683795e-10
2454128.26,1e-10
2454128.3,1e-09
2454128.3,5.623413251903491e-10
2454128.33,5.6234132519034906e-11
2454128.4,3.1622776601683795e-10
2454128.42778,3.1622776601683795e-10
2454128.42986,5.623413251903491e-10
2454129.25,1.778279410038923e-10
2454129.254,3.1622776601683795e-10
2454129.50729,1e-09
2454129.9889,1.7782794100389228e-09
2454130.21,1.7782794100389228e-09
2454130.3,1.778279410038923e-10
2454130.5,1e-09
2454130.9687,1.7782794100389228e-09
2454131.2292,5.623413251903491e-09
2454131.3542,5.623413251903491e-10
2454131.5,5.623413251903491e-10
2454131.52118,1.7782794100389228e-09
2454132.25,1.7782794100389228e-08
2454132.26,3.1622776601683795e-09
2454132.3,5.623413251903491e-10
2454132.333,5.6234132519034906e-11
2454132.49653,1.7782794100389228e-09
2454132.5,3.1622776601683795e-09
2454132.8819,3.1622776601683795e-09
2454133.0069,1.7782794100389228e-09
2454133.23,5.623413251903491e-09
2454133.23,1e-08
2454133.24,3.1622776601683795e-09
2454133.993,1.7782794100389228e-09
2454134.1,5.623413251903491e-09
2454134.18403,3.1622776601683795e-10
2454134.2153,1e-08
2454134.21806,3.1622776601683795e-09
2454134.29,1e-09
2454134.3,1e-08
2454134.31,1e-08
2454134.37,1e-09
2454134.4833,3.162277660168379e-08
2454134.529,1.7782794100389228e-09
2454135.2,5.623413251903491e-09
2454135.2313,1e-08
2454135.25,3.162277660168379e-08
2454135.25,3.1622776601683795e-09
2454135.2514,1.7782794100389228e-08
2454135.2639,5.623413251903491e-09
2454135.2889,3.1622776601683795e-09
2454135.2986,5.623413251903491e-09
2454135.3,3.162277660168379e-08
2454135.3,1e-08
2454135.313,5.6234132519034905e-08
2454135.344,3.162277660168379e-08
2454135.4,3.162277660168379e-08
2454135.4,1.7782794100389228e-08
2454135.4,5.623413251903491e-09
2454135.48819,3.162277660168379e-08
2454135.4903,3.162277660168379e-08
2454135.5,1e-08
