day,magnitude
0.0,8.7
0.2999999998137355,8.5
2.8513899999670684,8.4
3.6499999999068677,8.0
3.6999999997206032,8.3
3.7999999998137355,8.3
3.7999999998137355,8.4
5.0,7.8
5.638890000060201,8.2
5.688899999950081,8.6
5.699999999720603,8.5
5.810000000055879,8.0
6.0,8.5
6.7645999998785555,8.0
6.899999999906868,7.9
6.9950999999418855,8.2
7.100000000093132,8.4
7.620000000111759,8.4
7.7299999999813735,8.3
7.779899999964982,8.4
8.0,7.9
8.134029999841005,8.3
8.361800000071526,7.6
8.631899999920279,8.4
8.666999999899417,8.4
8.709700000006706,8.6
8.719399999827147,8.4
8.75,8.0
8.75069999974221,8.8
8.770829999819398,8.2
8.899999999906868,7.9
9.100000000093132,8.7
9.774999999906868,8.3
10.608299999963492,8.2
11.041999999899417,7.9
11.774999999906868,8.0
12.390999999828637,7.7
12.699999999720603,8.3
12.762499999720603,8.2
12.799999999813735,7.5
12.799999999813735,7.6
13.0,7.8
13.088190000038594,7.6
13.600000000093132,8.1
13.611099999863654,8.1
13.679999999701977,8.0
13.688899999950081,7.8
13.75,8.0
13.899999999906868,7.7
14.426399999763817,7.7
14.66039999993518,7.5
14.718059999868274,8.3
14.899999999906868,8.2
16.0,7.5
16.100000000093132,7.7
16.774999999906868,8.0
17.0,7.8
17.0,7.9
17.005599999800324,8.0
17.06939999992028,7.8
17.799999999813735,7.8
19.600000000093132,8.2
19.640000000130385,7.4
19.699999999720603,7.5
19.729999999981374,7.6
19.799999999813735,7.6
20.398599999956787,7.6
20.682599999941885,7.8
20.699999999720603,7.5
20.699999999720603,7.3
20.729999999981374,7.9
20.837499999906868,7.8
20.899999999906868,7.5
21.083000000100583,7.7
21.603499999735504,7.9
21.649999999906868,7.7
21.68129999982193,7.8
21.899999999906868,7.2
22.0,7.3
22.66388999996707,7.5
22.699999999720603,7.3
23.399999999906868,7.4
23.623000000137836,7.3
23.68999999994412,7.1
23.693099999800324,7.1
23.752080000005662,7.5
23.77999999979511,7.5
23.799999999813735,7.4
24.0,7.4
24.394400000106543,7.5
25.0,7.1
25.042359999846667,7.2
26.75760000012815,7.0
27.774999999906868,7.2
28.386099999770522,7.3
28.78679999988526,7.0
29.6589999999851,7.0
29.720100000035018,7.1
29.75,7.0
30.699999999720603,7.0
30.899999999906868,7.1
31.600000000093132,6.6
31.640000000130385,6.5
31.917399999685585,6.9
32.0,6.8
33.002890000119805,6.7
33.70999999996275,6.0
33.81179999979213,6.7
34.397899999748915,6.5
34.608329999726266,6.5
34.712999999988824,6.4
34.74028000002727,6.3
34.75999999977648,5.8
35.0,6.6
35.640000000130385,6.2
35.640000000130385,6.2
35.669999999925494,6.0
35.674000000115484,6.1
35.69859999977052,5.8
35.6999999997206,5.9
35.744799999985844,6.3
36.2785000000149,6.2
36.39999999990687,6.5
36.67100000008941,6.5
36.89999999990687,5.9
36.959379999898374,5.8
37.0,6.2
37.33099999977276,6.0
37.93099999986589,5.9
37.93124999990687,5.6
38.60000000009313,6.3
38.60829999996349,5.9
38.62999999988824,5.9
38.672900000121444,5.6
38.673599999863654,5.7
38.69167000008747,5.9
38.6999999997206,5.6
38.6999999997206,6.1
38.6999999997206,5.7
38.708999999798834,5.9
38.70999999996275,5.9
38.71999999973923,5.5
38.71999999973923,5.9
38.74789999984205,6.2
38.77499999990687,5.8
38.799999999813735,5.8
38.89999999990687,5.6
38.89999999990687,5.8
39.10000000009313,5.6
39.39170000003651,5.6
39.89999999990687,5.3
40.62429999979213,5.5
40.62929999968037,5.5
40.631000000052154,5.8
40.63260000012815,5.5
40.6999999997206,5.6
41.646499999798834,5.3
41.64999999990687,5.7
41.75417000008747,5.5
41.82400000002235,5.5
41.89999999990687,5.2
42.28539999993518,4.8
42.60000000009313,5.1
42.6089999997057,5.0
42.61459999997169,5.1
42.62349999975413,5.3
42.64999999990687,4.85
42.64999999990687,5.5
42.65629999991506,5.2
42.67079999996349,5.2
42.67920000012964,5.1
42.692359999753535,5.3
42.71999999973923,5.2
42.75999999977648,5.0
42.75999999977648,5.2
42.76739999977872,5.0
42.76869999989867,5.4
43.0,5.0
43.60000000009313,5.1
43.62000000011176,5.0
43.64309999998659,5.0
43.64709999971092,5.2
43.70559999998659,4.9
43.72999999998137,5.4
43.77499999990687,5.4
44.60000000009313,5.0
44.64440000010654,4.9
44.715969999786466,5.0
44.89999999990687,4.9
45.0,4.9
45.64999999990687,5.3
45.89999999990687,4.9
46.0,4.8
46.28539999993518,4.5
46.6999999997206,4.3
46.6999999997206,4.4
47.60829999996349,4.4
47.64999999990687,5.0
47.68999999994412,4.5
47.6999999997206,5.0
47.733329999726266,4.6
47.75999999977648,4.3
47.799999999813735,4.4
47.83263999968767,4.4
47.8333299998194,4.5
47.89999999990687,4.3
48.60000000009313,4.0
48.60000000009313,4.3
48.60800000000745,5.0
48.60829999996349,4.0
48.640000000130385,3.9
48.640000000130385,4.0
48.67639999976382,4.3
48.68999999994412,5.2
48.69169999985024,4.8
48.70999999996275,4.1
48.73469999991357,4.3
48.78499999968335,4.7
48.893749999813735,4.3
48.89999999990687,4.2
48.89999999990687,4.3
49.026389999780804,4.3
49.608329999726266,4.2
49.6152999997139,4.1
49.629859999753535,4.7
49.656940000131726,4.2
49.65999999968335,4.4
49.66940000001341,4.3
49.75760000012815,4.0
49.77000000001863,4.4
50.36739999987185,3.9
50.64999999990687,4.3
50.65625,4.2
50.66809999989346,4.4
50.72299999976531,4.2
50.73300000000745,4.8
50.82429999997839,4.0
51.65760000003502,3.8
51.77499999990687,4.7
51.79000000003725,3.6
51.89999999990687,4.0
52.64999999990687,3.8
52.65999999968335,3.6
52.89999999990687,4.2
53.27710000006482,3.7
53.60000000009313,3.8
53.6999999997206,3.7
53.72640000004321,3.7
53.799999999813735,4.1
53.89999999990687,4.0
53.93099999986589,4.0
54.0,3.8
54.02100999979302,4.0
54.39999999990687,3.9
54.43159999977797,3.8
54.60000000009313,3.7
54.61528000002727,3.8
54.61879999982193,3.8
54.6999999997206,3.7
54.6999999997206,3.8
54.75417000008747,4.1
55.01110999984667,3.7
55.60000000009313,3.8
55.609999999869615,3.7
55.624100000131875,3.6
55.64999999990687,3.8
55.65999999968335,4.0
55.6999999997206,3.6
55.6999999997206,3.7
55.72999999998137,4.1
55.799999999813735,3.8
55.82777999993414,3.8
55.8298599999398,3.7
56.64999999990687,3.9
56.65400000009686,3.8
56.90729000000283,3.6
57.388900000136346,3.5
57.609999999869615,3.5
57.6999999997206,3.9
57.89999999990687,3.6
58.368699999991804,3.5
58.62919999985024,3.3
58.75419999985024,3.7
58.89999999990687,3.7
58.92118000006303,3.5
59.64999999990687,3.1
59.65999999968335,3.4
59.6999999997206,3.7
59.73300000000745,4.1
59.89653000002727,3.5
59.89999999990687,3.4
60.28189999982715,3.4
60.40689999982715,3.5
60.62999999988824,3.3
60.62999999988824,3.2
60.640000000130385,3.4
61.3929999996908,3.5
61.5,3.3
61.58403000002727,3.8
61.6152999997139,3.2
61.61805999977514,3.4
61.68999999994412,3.6
61.6999999997206,3.2
61.70999999996275,3.2
61.77000000001863,3.6
61.88329999987036,3.0
61.929000000003725,3.5
62.60000000009313,3.3
62.631300000008196,3.2
62.64999999990687,3.0
62.64999999990687,3.4
62.65139999985695,3.1
62.66390000004321,3.3
62.68889999995008,3.4
62.69859999977052,3.3
62.6999999997206,3.0
62.6999999997206,3.2
62.712999999988824,2.9
62.743999999947846,3.0
62.799999999813735,3.0
62.799999999813735,3.1
62.799999999813735,3.3
62.88818999985233,3.0
62.89030000008643,3.0
62.89999999990687,3.2
63.29579999996349,3.5
63.40130000002682,3.3
63.60000000009313,2.7
63.609999999869615,3.2
63.62599999969825,3.1
63.62999999988824,3.2
63.64599999971688,2.9
63.64599999971688,3.0
63.64999999990687,3.1
63.656940000131726,2.9
63.67639999976382,3.3
63.67999999970198,3.0
63.68399999989197,3.0
63.69100000010803,3.4
63.6999999997206,3.7
63.6999999997206,3.1
63.6999999997206,3.9
63.6999999997206,3.2
63.6999999997206,3.1
63.6999999997206,3.0
63.702099999878556,3.2
63.89999999990687,3.2
63.9562999997288,3.3
64.5276999999769,3.0
64.60000000009313,2.9
64.60000000009313,3.1
64.60000000009313,3.0
64.6699999999255,3.2
64.6999999997206,2.6
64.6999999997206,2.5
64.96249999990687,3.1
65.42359999986365,2.8
65.59792000008747,2.8
65.65999999968335,3.1
65.68470000009984,3.0
65.89999999990687,2.8
65.91423999983817,2.7
65.97292000008747,2.9
65.98332999972627,3.0
66.02846999978647,3.3
66.2679999996908,3.3
66.6085000000894,2.8
66.89999999990687,3.0
66.89999999990687,2.7
66.89999999990687,2.8
66.99028000002727,2.8
67.0173599999398,2.8
67.60000000009313,2.9
67.60000000009313,2.7
67.61528000002727,2.7
67.62220000009984,2.7
67.64999999990687,2.6
67.89999999990687,2.8
67.93471999978647,2.7
68.00969999982044,3.0
68.60000000009313,2.4
68.60000000009313,3.0
68.64999999990687,2.4
68.64999999990687,2.5
68.6999999997206,3.1
68.6999999997206,2.9
68.6999999997206,2.9
69.64649999979883,2.6
69.68999999994412,2.6
69.69779999973252,2.7
69.73300000000745,3.0
69.79999999981374,3.0
69.8694400000386,2.6
69.89999999990687,2.7
69.89999999990687,2.9
69.89999999990687,2.3
69.93610000004992,2.7
69.93819999974221,2.5
70.60000000009313,2.3
70.63609999977052,2.5
70.63959999987856,2.8
70.67849999992177,2.8
70.68129999982193,2.5
70.71109999995679,2.5
70.89999999990687,2.6
70.89999999990687,2.4
71.63959999987856,2.4
71.6999999997206,2.8
71.89999999990687,2.6
71.91042000008747,2.3
71.94513999996707,2.3
72.04579999996349,2.6
72.59792000008747,2.4
72.68999999994412,2.7
72.6999999997206,2.5
72.99649999989197,2.4
73.0527999997139,2.2
73.29999999981374,2.5
73.39999999990687,2.0
73.60000000009313,2.6
73.60999999986961,2.8
73.62999999988824,2.0
73.63260000012815,2.3
73.63959999987856,2.4
73.64999999990687,3.3
73.65999999968335,2.4
73.65999999968335,2.4
73.66388999996707,2.4
73.67849999992177,2.4
73.68999999994412,2.5
73.69169999985024,2.6
73.69650000007823,2.8
73.6999999997206,2.4
73.6999999997206,2.4
73.71249999990687,2.4
73.73888999968767,2.2
73.74028000002727,2.3
73.79900000011548,2.5
73.81319999974221,2.5
73.90694000013173,2.1
73.92299999995157,2.4
73.94510000012815,2.2
74.0,2.2
74.00069000013173,2.2
74.66042000008747,2.4
74.66109999967739,2.3
74.66250000009313,2.0
74.67079999996349,2.2
74.68999999994412,2.4
74.69199999980628,3.0
74.6999999997206,2.3
74.6999999997206,2.5
74.6999999997206,2.7
74.71457999991253,2.3
74.74720000009984,2.7
74.89999999990687,2.2
74.89999999990687,2.5
74.92812999989837,2.4
74.946529999841,2.2
74.99374999990687,2.1
75.0,2.8
75.3027999997139,2.4
75.37220000009984,2.0
75.62599999969825,2.2
75.62639999995008,2.4
75.6999999997206,2.4
75.7277999999933,2.5
75.88957999972627,2.1
75.89999999990687,2.6
75.89999999990687,2.3
75.9277999997139,2.3
75.95903000002727,2.2
75.96249999990687,2.3
75.99721999978647,2.1
76.10000000009313,2.4
76.45209999987856,2.0
76.60000000009313,2.2
76.60829999996349,2.3
76.62569000013173,2.3
76.64170000003651,2.3
76.64349999977276,2.3
76.66459999978542,2.3
76.6699999999255,2.4
76.67079999996349,2.2
76.68679999979213,3.1
76.70903000002727,2.3
76.79999999981374,2.6
76.89999999990687,2.2
76.91042000008747,2.0
76.92152999993414,2.7
76.95277999993414,2.0
76.9660000000149,2.0
76.97638999996707,2.3
77.00117000006139,2.3
77.1215300001204,2.1
77.29239999968559,2.3
77.60000000009313,2.5
77.60999999986961,2.4
77.60999999986961,2.4
77.62220000009984,2.3
77.62569000013173,2.2
77.62999999988824,2.2
77.64999999990687,2.35
77.6777999997139,3.1
77.68500000005588,2.4
77.6999999997206,2.7
77.71999999973923,2.7
77.89999999990687,2.8
77.89999999990687,2.5
77.91388999996707,2.3
77.91390000004321,2.2
77.92082999972627,2.1
77.92499999981374,2.1
77.93470000009984,2.0
77.94167000008747,2.1
77.94167000008747,2.2
78.43259999994189,2.0
78.59792000008747,1.9
78.65689999982715,2.3
78.69510000012815,2.23
78.89999999990687,2.0
78.95555999968201,2.1
79.0368099999614,2.1
79.39789999974892,2.0
79.69309999980032,2.3
79.69859999977052,2.3
79.89999999990687,2.1
79.99930999986827,2.2
80.60000000009313,2.6
80.69719999982044,2.5
80.69859999977052,2.2
80.6999999997206,2.3
80.6999999997206,3.0
80.89999999990687,2.3
80.89999999990687,2.6
80.89999999990687,2.3
80.90689999982715,2.2
80.92299999995157,2.1
80.92638999968767,2.2
80.99721999978647,2.1
81.39999999990687,2.1
81.42219999991357,2.0
81.64999999990687,2.5
81.65570000000298,2.3
81.67222000006586,2.1
81.69029999990016,2.3
81.69719999982044,2.5
81.6999999997206,2.4
81.73680999968201,2.3
81.89999999990687,2.7
81.93819999974221,2.2
81.96249999990687,2.0
82.62999999988824,2.1
82.89999999990687,2.7
82.90149999968708,2.1
82.91250000009313,2.2
82.93129999982193,2.2
82.96596999978647,2.1
83.00969999982044,2.3
83.89999999990687,2.4
83.90555999986827,2.3
84.60832999972627,2.2
84.62569999974221,2.2
84.63260000012815,2.2
84.79999999981374,2.1
84.84789999993518,2.0
84.93819000013173,2.0
84.99582999991253,2.2
85.28819999983534,2.3
85.35832999972627,2.2
85.61180999968201,2.1
85.68819999974221,2.3
85.86599999992177,1.9
86.64999999990687,2.3
86.65689999982715,2.2
86.65999999968335,2.0
86.69719999982044,2.4
86.72289999993518,3.0
86.85140000004321,2.0
86.92778000002727,2.1
87.89999999990687,2.8
88.4277999997139,2.3
88.68999999994412,2.2
88.69199999980628,2.5
88.70420000003651,2.4
88.87919999985024,2.0
89.60000000009313,2.2
89.62220000009984,2.3
89.64305999968201,2.3
89.67849999992177,2.4
89.9499999997206,2.2
90.65694000013173,2.4
90.67999999970198,2.5
90.68999999994412,2.2
90.6992999999784,2.5
90.89999999990687,2.5
91.60000000009313,2.9
91.62999999988824,2.5
91.64000000013039,2.4
91.64000000013039,2.4
91.64999999990687,2.9
91.64999999990687,2.5
91.6999999997206,2.9
91.91042000008747,2.3
91.92900000000373,2.5
92.36874999990687,2.3
92.60000000009313,2.4
92.61528000002727,2.0
92.62999999988824,2.6
92.65346999978647,2.4
92.67986000003293,2.3
92.68999999994412,2.45
92.69027999974787,2.4
92.6999999997206,3.2
92.70209999987856,2.8
92.71109999995679,3.0
92.89999999990687,2.6
92.89999999990687,2.9
92.92082999972627,2.3
93.0,2.6
93.60000000009313,2.8
93.60000000009313,3.4
93.62929999968037,2.5
93.62999999988824,2.6
93.62999999988824,2.6
93.6999999997206,2.6
94.32010000012815,2.5
94.60000000009313,3.0
94.63799999980256,2.5
94.64999999990687,2.5
94.69169999985024,3.3
94.69859999977052,2.5
94.6999999997206,2.8
94.6999999997206,2.5
94.70999999996275,2.5
94.9035000000149,2.5
94.93349999981001,2.5
94.93819000013173,2.2
94.95830000005662,2.7
95.62999999988824,2.4
95.6999999997206,2.2
95.82640000013635,2.1
95.89999999990687,3.2
96.6999999997206,2.8
96.6999999997206,2.7
96.71320000011474,2.9
96.89999999990687,3.0
96.93129999982193,2.5
97.67290000012144,2.3
97.70971999969333,2.9
97.71999999973923,3.1
98.29930000007153,2.7
98.60000000009313,2.5
98.60000000009313,3.1
98.65139999985695,2.7
98.65999999968335,2.6
98.65999999968335,2.5
98.66699999989942,3.0
98.6710000000894,3.7
98.67709999997169,3.1
98.68999999994412,2.4
98.6999999997206,2.7
98.70559999998659,2.9
98.89999999990687,3.0
98.89999999990687,3.3
98.91735999984667,2.9
98.92950000008568,2.7
99.62999999988824,3.0
99.64653000002727,2.7
99.65999999968335,3.0
99.67079999996349,2.7
99.67359999986365,3.1
99.6999999997206,2.2
99.6999999997206,2.7
99.70830000005662,3.1
100.29930000007153,2.6
100.63609999977052,2.7
100.64305999968201,2.7
100.65999999968335,2.6
100.6710000000894,3.8
100.68679999979213,3.2
100.68999999994412,2.5
100.92778000002727,2.2
101.29999999981374,2.5
101.60000000009313,3.2
101.67219999991357,3.1
101.6999999997206,3.7
102.38957999972627,2.5
102.6429999996908,2.8
102.65999999968335,2.9
102.65999999968335,2.8
102.89999999990687,2.9
103.89999999990687,2.7
103.92082999972627,2.2
104.89999999990687,3.0
104.93800000008196,3.4
104.95280000008643,3.1
105.30689999973401,2.7
105.89999999990687,3.3
105.94860999984667,2.4
106.00208000000566,3.0
107.59444000013173,2.8
107.89999999990687,3.5
107.92778000002727,3.2
107.93055999977514,2.7
111.92986000003293,3.3
114.35485999984667,3.3
116.93124999990687,3.2
119.34792000008747,3.4
123.35138999996707,3.3
126.81740000005811,3.8
178.70690000010654,6.0
194.70690000010654,6.5
208.1999999997206,7.3
209.5,7.0
215.29999999981374,7.2
219.39999999990687,7.4
221.1999999997206,7.8
221.71460000006482,7.5
223.25,7.5
223.95999999996275,7.5
225.5,7.3
225.93819000013173,7.7
228.6979000000283,7.8
229.29999999981374,7.5
231.1999999997206,8.3
231.23609999986365,7.9
231.27499999990687,7.9
231.93124999990687,7.8
234.1999999997206,7.9
235.70759999984875,7.9
235.9777999999933,8.2
237.0,8.4
240.1999999997206,8.5
240.29999999981374,8.3
246.0,8.5
248.89999999990687,9.0
248.94167000008747,8.5
249.95619999989867,8.3
251.1999999997206,8.8
251.20800000010058,8.5
251.24170000012964,8.1
252.1618099999614,8.9
253.28679999988526,8.8
253.97999999998137,8.6
254.0,8.5
254.0,8.4
254.89999999990687,8.3
254.93999999994412,8.7
256.0,8.8
257.9035000000149,8.9
257.96939999982715,8.4
260.91388999996707,8.8
261.9399999999441,8.5
262.98999999975786,8.9
